CustomerID,Name,Gender,Age,AnnualIncome,LoyaltyScore,Membership
101,Anjali,Female,25,50000,7,Silver
102,Ravi,Male,34,62000,8,Gold
103,Meena,Female,,57000,6,Silver
104,Sohan,Male,29,,9,Gold
105,Geeta,,31,49000,7,Platinum
106,Amit,Male,27,60000,5,Silver
107,Nidhi,Female,,55000,6,Gold
108,Vikas,Male,35,68000,8,Gold
109,Neelam,Female,40,72000,9,Platinum
110,Deepa,Female,26,58000,6,Silver
111,Harsh,Male,28,64000,7,Silver
112,Pooja,,32,,8,Gold
113,Sunil,Male,,61000,5,Silver
114,Divya,Female,36,70000,,Platinum
115,Ramesh,Male,30,66000,7,Gold
116,Simran,Female,27,59000,6,Silver
117,Arun,Male,,63000,8,Gold
118,Kajal,Female,29,61000,7,Silver
119,Ankush,Male,33,,9,Platinum
120,Shruti,Female,31,64000,7,Gold
